id	cj6	cj5	cj5f	unicode
12478	FNKF	FNKF	FNKF	24411
12479	FNL	FNL	FNL	90A9
12480	FHSA	FHSA	FHSA	7114
12480	FNLA	FNLA	FNLA	
12481	FNLO	FNLO	FNLO	243E2
12482	FNLQ	FNLQ	FNLQ	24305
12483	FNO	FNO	FNO	708A
12484	FNOE	FNOE	FNOE	243CB
12485	FNOF	FNOF	FNOF	
12486	FNOM	FNOM	FNOM	70C3
12487	FNOT	FNOT	FNOT	71C8
12488	FNQ	FNQ	FNQ	63F1
12489	FNQD	FNQD	FNQD	24334
12490	FNRI	FNRI	FNRI	244B0
12491	FNSP	FNSP	FNSP	24300
12492	FNUU	FNUU	FNUU	24451
12493	FNVIF	FNVIF	FNVIF	26097
12494	FNWA	FNWA	FNWA	2445F
12495	FNWE	FNWE	FNWE	
12496	FNWE1	XFNWE	FNWE	
12497	FNWF	FQNWF	FQNWF	9B9D
12498	FNWM	FQNWM	FQNWM	9C9E
12499	FHSX	FHSX	FHSX	
12499	FNX	FNHX	FNHX	7130
12500	FNXU	FNXU	FNXU	2A6B1
12501	FNXU1	XFNXU	FNXU	2A6AF
12502	FNYR	FNYR	FNYR	24410
12503	FNZ	XFNIN	FNIN	3DA6
12504	FNZB	FNHB	FNHB	71CF
12505	FNZD	FNHD	FNHD	7163
12506	FN1	XFN	FN	
12507	FO	FO	FO	5C10
12508	FOAE	FOAE	FOAE	242DF
12509	FOAR	FOIR	FOIR	7197
12510	FOAV	FQOIV	FQOIV	990B
12511	FOB	FOB	FOB	3DA7
12512	FOBG	FOBG	FOBG	2430D
12513	FOBT	XFOMB	FOMB	3DCD
12514	FOD	FOD	FOD	70CC
12515	FOFM	FOFM	FOFM	24237
12516	FOG	FOG	FOG	96C0
12517	FOGF	FOGF	FOGF	71CB
12518	FOGH	FOGS	FOGS	3DEA
12519	FOGS	XFOGS	FOGS	243B1
12520	FOG1	XFOG	FOG	7133
12521	FOG2	FQOG	FQOG	
12522	FOHH	FOHH	FOHH	241EA
12523	FOIM	FOIM	FOIM	244AF
12524	FOJU	FOJU	FOJU	24212
12525	FOK	FOK	FOK	7087
12526	FOKQ	FOKQ	FOKQ	
12527	FOLL	FOLL	FOLL	708C
12528	FOMD	FOMD	FOMD	
12529	FOMG	FOMG	FOMG	70C7
12530	FOMI	FOMI	FOMI	70E9
12531	FOMM	FOMM	FOMM	
12532	FOND	FOND	FOND	7182
12533	FONI	FOII	FOII	70A9
12533	FOSL	FOML	FOML	
12534	FONP	FOIP	FOIP	713E
12535	FONR	XFOIR	FOIR	7113
12536	FOOG	FOOG	FOOG	2425B
12537	FOOK	FOOK	FOOK	244A6
12538	FOOP	FOOP	FOOP	
12539	FOORB	FOOMB	FOOMB	4DB4
12540	FOOS	FOOS	FOOS	24254
12541	FOP	FOP	FOP	709B
12542	FOPD	FOPD	FOPD	70A7
12543	FOPJ	FOPJ	FOPJ	70E8
12544	FOP1	XFOP	FOP	241B7
12545	FOR	FOMR	FOMR	70DA
12546	FORB	FOMB	FOMB	721A
12547	FORD	FORD	FORD	
12548	FORN	FORN	FORN	243EC
12549	FORO	FOMO	FOMO	3DFF
12550	FORR	FORR	FORR	24378
12551	FORS	FORM	FORM	71BB
12552	FOS	FOS	FOS	70B8
12553	FONI	FOII	FOII	70A9
12553	FOSL	FOML	FOML	
12554	FOSU	FOSU	FOSU	709D
12555	FOTF	FOTF	FOTF	3DFB
12556	FOWA	FOMA	FOMA	71F4
12557	FOWY	FOWY	FOWY	70F8
12558	FP	FP	FP	24187
12559	FPA	FPA	FPA	3DB7
12560	FPA1	XFPA	FPA	
12561	FPBC	FPBC	FPBC	
12562	FPD	FPD	FPD	707A
12563	FPH	FPH	FPH	241E9
12564	FPHH	FPHH	FPHH	2419E
12565	FPHP	FPHP	FPHP	
12566	FPI	FPI	FPI	707C
12566	FPM	FPM	FPM	
12567	FPIM	FPIM	FPIM	
12568	FPKP	FPKP	FPKP	3DD3
12569	FPI	FPI	FPI	707C
12569	FPM	FPM	FPM	
12570	FPMM	FPMM	FPMM	241A5
12571	FPPA	FPPA	FPPA	716F
12572	FPPJ	FPPJ	FPPJ	241F9
12573	FPRU	FPRU	FPRU	70AE
12574	FPSH	FPSH	FPSH	241BB
12575	FPSU	FPSU	FPSU	
12576	FPTD	FPTD	FPTD	7160
12577	FPU	FPU	FPU	7096
12578	FPUK	FPUK	FPUK	24224
12579	FPUU	FPUU	FPUU	717C
12580	FQ	FQ	FQ	534A
12581	FQA	FJKA	FJKA	24304
12582	FQAE	FJAE	FJAE	24422
12583	FQAF	FJAF	FJAF	
12584	FQAV	FQAV	FQAV	209AF
12585	FQBUU	FQBUU	FQBUU	468F
12586	FQD	XFQD	FQD	2421E
12587	FQDI	FQDI	FQDI	2449B
12588	FQGCE	FQGCE	FQGCE	209BB
12589	FQHE	FQHE	FQHE	53DB
12589	FQME	FQME	FQME	53DB
12590	FQHF	FQHF	FQHF	243E6
12591	FQHHI	FQHHI	FQHHI	21B49
12592	FQHK	FQHK	FQHK	242F8
12593	FQHL	FQHL	FQHL	
12594	FQHML	FQHML	FQHML	65B4
12595	FQJ	FQJ	FQJ	7090
12596	FQJP	FQJP	FQJP	24461
12597	FQJR	FQJR	FQJR	242B4
12598	FQKK	FQKK	FQKK	242F7
12599	FQKQ	FQKQ	FQKQ	242A1
12600	FQLN	FQLN	FQLN	5224
12601	FQHE	FQHE	FQHE	53DB
12601	FQME	FQME	FQME	53DB
12602	FQMF	FQMF	FQMF	2434A
12603	FQMS	XFJKS	FJKS	
12603	FQYS	FJKS	FJKS	70E4
12604	FQMUN	FQMVN	FQMVN	7510
12605	FQMZ	FQMBC	FQMBC	9816
12606	FQND	FJKD	FJKD	24257
12607	FQNN	FQNN	FQNN	20108
12608	FQO	FQO	FQO	241AE
12609	FQOA	FQOA	FQOA	243D6
12610	FQOC	FQOC	FQOC	3E07
12611	FQOGF	FQOGF	FQOGF	293F7
12612	FQOG1	XFQOG	FQOGF	293F6
12613	FQOO	FQOO	FQOO	243BA
12614	FQO1	XFQO	FQO	
12615	FQP	FQP	FQP	22624
12616	FQRAU	FQRAU	FQRAU	2869A
12617	FQS	FQS	FQS	709C
12618	FQSK	FQSK	FQSK	
12619	FQSS	FQSMM	FQSMM	7FF7
12620	FQU	FQU	FQU	4E83
12621	FQVV	FQVV	FQVV	7CBC
12622	FQVVV	FQVVV	FQVVV	25ED8
12623	FQYJ	FQYJ	FQYJ	3AB5
12624	FQMS	XFJKS	FJKS	
12624	FQYS	FJKS	FJKS	70E4
12625	FQ1	FQQ	FQQ	62F3
12626	FQ2	XFQ	FQ	9FB9
12627	FR	FR	FR	
12628	FRAU	FRAU	FRAU	2868A
12629	FRB	FRB	FRB	7106
12630	FRBC	FRBC	FRBC	7189
12631	FRBO	FRBO	FRBO	24236
12632	FRC	FRC	FRC	70BD
12633	FRHG	FRHG	FRHG	
12634	FRHR	FRHR	FRHR	7112
12634	FRR	FRR	FRR	7112
12635	FRHU	FRHU	FRHU	70BE
12636	FRIK	FRIK	FRIK	7363
12637	FRME	FVNE	FVNE	24292
12638	FRMO	FVNO	FVNO	242BA
12639	FROB	FROB	FROB	3DBD
12640	FROMZ	FOMBC	FOMBC	
12641	FRP	FRP	FRP	357E
12642	FRP1	XFRP	FRP	22812
12643	FRHR	FRHR	FRHR	7112
12643	FRR	FRR	FRR	7112
12644	FRRD	FRRD	FRRD	71E5
12645	FRRJ	FRRJ	FRRJ	71C0
12646	FRRR	FRRR	FRRR	7170
12647	FRRS	FRRS	FRRS	
12648	FRSE	FRSE	FRSE	7146
12649	FRUC	FRUC	FRUC	3DF7
12650	FRUP	FRVP	FRVP	241DC
12651	FRVC	FRVC	FRVC	3DF7
12652	FRVK	FRVK	FRVK	24247
12653	FS	FSM	FSM	5F53
12654	FSBB	FSMB	FSMB	3DCC
12655	FSD	FSD	FSD	3BA1
12656	FSEG	FSEG	FSEG	719E
12657	FSEI	FSEI	FSEI	7225
12658	FSH	FQSH	FQSH	5238
12659	FSHLN	FHLN	FHLN	34EC
12660	FSHP	FSIP	FSIP	24243
12661	FSHR	FSHR	FSHR	70A4
12662	FSHU	FSHU	FSHU	24226
12663	FSHX	FSHX	FSHX	
12664	FSH1	FSH	FSH	7071
12665	FSIT	FSIT	FSIT	7201
12665	FSMT	FSMT	FSMT	
12666	FSIU	FSIU	FSIU	
12667	FSJJ	FSJJ	FSJJ	3E0E
12668	FSJR	FSJR	FSJR	24278
12669	FSJT	FSJT	FSJT	244A4
12670	FSKR	FSKR	FSKR	24259
12671	FSLL	FSLL	FSLL	70E5
12672	FSLN	FSLN	FSLN	34E5
12673	FSMG	XFSMG	FSMG	24306
12674	FSMI	FSMI	FSMI	71D6
12675	FSMM	XFSMM	FSMM	
12676	FSIT	FSIT	FSIT	7201
12676	FSMT	FSMT	FSMT	
12677	FSMU	FSMU	FSMU	24478
12678	FSMV	FSMV	FSMV	3DC3
12679	FSMV1	XFSMV	FSMV	2429E
12680	FSOY	FSOY	FSOY	70EC
12681	FSP	FSP	FSP	
12682	FSQF	FQSQF	FQSQF	99E6
12683	FSQF1	XFSQF	FSQF	2432C
12684	FSQOJ	FSQOJ	FSQOJ	208C7
12685	FSRL	FSRJ	FSRJ	24419
12686	FSRR	FSRR	FSRR	71B0
12687	FSS	FSS	FSS	70AC
12688	FSSA	FSMA	FSMA	71A0
12689	FSSC	FSMC	FSMC	244A9
12690	FSSG	FSMG	FSMG	71FF
12691	FSSH	FSMH	FSMH	71AE
12692	FSSJ	FSMJ	FSMJ	24471
12693	FSSR	FSSR	FSSR	7117
12694	FSST	XFSMT	FSMT	71A4
12695	FSS1	FSMM	FSMM	241BE
12696	FSTBC	FSTBC	FSTBC	208A3
12697	FSTR	FSTR	FSTR	24390
12698	FSTT	FSTT	FSTT	242CA
12699	FSU	FQSU	FQSU	5377
12700	FSUF	FSUF	FSUF	24424
12701	FSUKS	FUKS	FUKS	52CC
12702	FSUMZ	FUMBC	FUMBC	294EB
12703	FSUP	FQSUP	FQSUP	
12704	FSUU	FSUU	FSUU	7140
12705	FSU1	XFQSU	FQSU	5DFB
12706	FSWU	FSWU	FSWU	7226
12707	FT	FT	FT	7077
12708	FTA	FTA	FTA	711F
12709	FTAJ	FTAJ	FTAJ	
12710	FTAK	FTAK	FTAK	3DEC
12711	FTAL	FTAL	FTAL	
12712	FTAQ	FTAQ	FTAQ	2446E
12713	FTAW	FTAW	FTAW	7224
12714	FTBF	FTBF	FTBF	24404
12715	FTBN	FTBN	FTBN	3DD9
12716	FTC	FTC	FTC	70D8
12717	FTCH	FTCH	FTCH	24288
12718	FTCP	FTCP	FTCP	
12719	FCMW	FCMW	FCMW	
12719	FTCW	FTCW	FTCW	716A
12720	FTC1	XFTC	FTC	70E1
12721	FTFQ	FTFQ	FTFQ	24491
12722	FTGB	FTTB	FTTB	7179
12723	FTGE	FTGE	FTGE	24394
12724	FTGI	FTGI	FTGI	71E8
12725	FTGQ	FTGQ	FTGQ	3DE3
12726	FTGR	FTGR	FTGR	3DFD
12726	FTQR	FTTR	FTTR	3DFD
12727	FTGS	FTGS	FTGS	7214
12728	FTGT	FTGT	FTGT	24429
12729	FTGU	FTGU	FTGU	243F2
12730	FTHF	FTHF	FTHF	244C2
12731	FCMO	FCMO	FCMO	
12731	FTHO	FTPO	FTPO	716B
12732	FTJR	FTJR	FTJR	242FC
12733	FTK	XFTK	FTK	2421D
12734	FTKU	FTKU	FTKU	
12735	FTKV	FTKV	FTKV	243A3
12736	FTLC	FTLC	FTLC	71BF
12736	FTMC	XFTMC	FTMC	
12737	FTLF	FTLF	FTLF	24488
12738	FTLJ	FTLJ	FTLJ	7142
12739	FTLK	FTLK	FTLK	7150
12740	FTLO	FTLO	FTLO	71AF
12741	FTLX	FTLX	FTLX	24473
12742	FTM	FTM	FTM	3DB0
12743	FTMB	FTMB	FTMB	242F2
12744	FTLC	FTLC	FTLC	71BF
12744	FTMC	XFTMC	FTMC	
12745	FTMD	FTMD	FTMD	7164
12746	FTMJ	FTMJ	FTMJ	71C1
12747	FTMM	FTMM	FTMM	70C2
12748	FTOB	FTOB	FTOB	712B
12749	FTOB1	XFTOB	FTOB	244DD
12750	FTOE	FTOE	FTOE	24430
12751	FTOF	FTOF	FTOF	7211
12752	FTOI	FTOI	FTOI	242F6
12753	FTOL	FTOL	FTOL	
12754	FTOV	FTOV	FTOV	
12755	FTPD	FTPD	FTPD	2440C
12756	FTPI	FTPI	FTPI	70F5
12756	FTPM	FTPM	FTPM	
12757	FTPI	FTPI	FTPI	70F5
12757	FTPM	FTPM	FTPM	
12758	FTPP	FTPP	FTPP	71EA
12759	FTPP1	XFTPP	FTPP	
12760	FTQ	FTQ	FTQ	70CA
12761	FTQA	FTJA	FTJA	243F8
12762	FTGR	FTGR	FTGR	3DFD
12762	FTQR	FTTR	FTTR	3DFD
12763	FTQU	FTQU	FTQU	
12764	FTRD	FTRD	FTRD	244B6
12765	FTRG	FTRG	FTRG	721F
12766	FTSG	FTSG	FTSG	244BD
12767	FTSO	FTSO	FTSO	
12768	FTST	FTST	FTST	
12769	FTSV	FTSV	FTSV	
12770	FTV	FTVI	FTVI	2434F
12771	FTVD	FTVD	FTVD	244C8
12772	FTW	FTW	FTW	242D9
12773	FTWA	FTWA	FTWA	3DEE
12774	FTWB	FTWB	FTWB	71E4
12775	FCMI	FCMI	FCMI	
12775	FTWI	FTWI	FTWI	71C7
12776	FTWI1	XFTWI	FTWI	7221
12777	FTWK	FTWK	FTWK	
12778	FTWR	FTWR	FTWR	2431A
12779	FTWV	FTWV	FTWV	71F6
12780	FCMC	FCMC	FCMC	
12780	FTXC	FTXC	FTXC	7191
12781	FTYJ	FTYJ	FTYJ	3DF9
12782	FTYJ1	XFTYJ	FTYJ	
12783	FTYJ2	XXFTY	FTYJ	
12784	FTYS	FTYS	FTYS	2428A
12785	FTZ	FTMC	FTMC	24284
12786	FTZG	FTCG	FTCG	24446
12787	FTZL	FTCL	FTCL	71CD
12788	FTZV	FTMV	FTMV	7141
12789	FU	FU	FU	707F
12790	FUA	FUA	FUA	231A5
12791	FUAB	FUAB	FUAB	204AB
12792	FUAFU	FUAFU	FUAFU	204BC
12793	FUANW	FUANW	FUANW	204D6
12794	FUAP	FUAP	FUAP	71B4
12795	FUAPP	FUAPP	FUAPP	5C21
12796	FUBJJ	FUBJJ	FUBJJ	8F1D
12797	FUBKQ	FUBKQ	FUBKQ	8F89
12798	FUBUU	FUBUU	FUBUU	4687
12799	FUDMQ	FUDMQ	FUDMQ	97D1
12800	FUDWF	FUDWF	FUDWF	204B5
12801	FUF	FUF	FUF	
12802	FUFFD	FUFFD	FUFFD	204D0
12803	FUFOG	FUFOG	FUFOG	204C3
12804	FUFUU	FUFUU	FUFUU	204C9
12805	FUHAG	FUHAG	FUHAG	24F97
12806	FUHJ	FUHJ	FUHJ	3DE8
12807	FUHSX	FUHSX	FUHSX	
12808	FUHUC	FUHUC	FUHUC	27E4D
12809	FUHWI	FUHUI	FUHUI	29D16
12810	FUID	FUID	FUID	204A5
12811	FUIIB	FUIIB	FUIIB	204C7
12812	FUIRM	FUIRM	FUIRM	204AC
12813	FUITC	FUITC	FUITC	5164
12814	FUIT1	XFUIT	FUIT	204CC
12815	FUIVB	FUIVB	FUIVB	
12816	FUJCM	FUJCM	FUJCM	41AA
12817	FULWL	FULWL	FULWL	20497
12818	FUMB	FUMB	FUMB	7153
12819	FUMOB	FUMOB	FUMOB	2049D
12820	FUMR	FUMR	FUMR	242A4
12821	FUMRB	FUMRB	FUMRB	
12822	FUMT	FUMT	FUMT	24348
12823	FUMUN	FUMVN	FUMVN	3F33
12824	FUNWA	FUNWA	FUNWA	204D1
12825	FUNX	FUNHX	FUNHX	2697F
12826	FUOG	FUOG	FUOG	71A3
12827	FUON	FUON	FUON	
12828	FUOYJ	FUOYJ	FUOYJ	204A1
12829	FUQOC	FUQOC	FUQOC	204D2
12830	FURHR	FURHR	FURHR	204A6
12831	FUSHX	FUSHX	FUSHX	
12832	FUSKR	FUSKR	FUSKR	
12833	FUSSA	FUSMA	FUSMA	26489
12834	FUSSG	FUSMG	FUSMG	8000
12835	FUSSH	FUSMH	FUSMH	204C2
12836	FUTAW	FUTAW	FUTAW	204DA
12837	FUTGE	FUTGE	FUTGE	204C1
12838	FUTLC	FUTLC	FUTLC	9ECB
12838	FUTMC	FUTMC	FUTMC	
12839	FUTLC	FUTLC	FUTLC	9ECB
12839	FUTMC	FUTMC	FUTMC	
12840	FUTMJ	FUTMJ	FUTMJ	34AF
12841	FUU	FUU	FUU	70AA
12842	FUWD	FUWD	FUWD	204AA
12843	FUWLL	FUWLJ	FUWLJ	204CB
12844	FUXVV	FUHXV	FUHXV	2A557
12845	FUYJR	FUYCB	FUYCB	204BF
12846	FUYPL	FUYPC	FUYPC	
12847	FUYPM	FUYPM	FUYPM	271FA
12848	FVFI	FVFI	FVFI	242E2
12849	FVFKS	FFKS	FFKS	52EC
12850	FVFY	FVFY	FVFY	24351
12851	FVHMR	FVHMR	FVHMR	21890
12852	FVID	FVID	FVID	720D
12853	FVIF	FQVIF	FQVIF	7D6D
12854	FVIS	FVIS	FVIS	3DAD
12855	FVMRB	FVMRB	FVMRB	29C59
12856	FVNO	XFVNO	FVNO	25E70
12857	FVVD	FVVD	FVVD	24352
12858	FVVV	FVVV	FVVV	7209
12859	FVVW	FVVW	FVVW	24263
12860	FVVW1	XFVVW	FVVW	242B2
12861	FVW	FVMW	FVMW	
12862	FW	FW	FW	7551
12863	FWB	FWB	FWB	715F
12864	FWCL	FWCL	FWCL	
12865	FWD	FWD	FWD	5DE3
12866	FWD1	XFWD	FWD	7111
12867	FWD2	XXFWD	FWD	3DC4
12868	FWFF	FWGF	FWGF	3DF5
12869	FWFG	FWGG	FWGG	7205
12870	FWHIO	FWHVO	FWHVO	3F15
12871	FWIB	FWLB	FWLB	3DD2
12872	FWIM	FWIM	FWIM	2438D
12873	FWJ	FWJ	FWJ	5358
12874	FWJC	FWJC	FWJC	243BD
12875	FWJR	FWJR	FWJR	2428E
12876	FWK	FWK	FWK	70DF
12877	FWKP	FWKP	FWKP	717E
12878	FWL	FWL	FWL	70A0
12879	FWLG	FWLG	FWLG	244D3
12880	FWLI	FWLI	FWLI	71ED
12881	FWLJ	XFWLJ	FWLJ	
12882	FWLL	FWLJ	FWLJ	71E1
12883	FWLX	FWLM	FWLM	24317
12884	FWMUN	FWMVN	FWMVN	3F46
12885	FWMV	FWMV	FWMV	7168
12886	FWO	FWO	FWO	
12887	FWOL	FWOL	FWOL	242FD
12888	FWOT	FWOT	FWOT	7185
12889	FWP	FWP	FWP	242D8
12890	FWS	FWS	FWS	241C6
12891	FWSP	FWSP	FWSP	
12892	FWTC	FWTC	FWTC	71BC
12893	FWTJ	FWTJ	FWTJ	719A
12894	FWTJ1	XFWTJ	FWTJ	244B9
12895	FWVF	FWVF	FWVF	24376
12896	FW1	XFW	FW	7544
12897	FXBD	FHBD	FHBD	2448E
12898	FXG	FHXG	FHXG	3DD0
12899	FXGE	FHGE	FHGE	71EC
12899	FXME	FHME	FHME	71EC
12900	FXHU	FHXU	FHXU	24293
12901	FXGE	FHGE	FHGE	71EC
12901	FXME	FHME	FHME	71EC
12902	FXOOG	FXOOG	FXOOG	214E2
12903	FXUO	FQYMU	FQYMU	9F64
12904	FXXX	FYMM	FYMM	243A0
12905	FXYC	FHXC	FHXC	24449
12906	FY	FY	FY	2418A
12907	FYAJ	FYAJ	FYAJ	712F
12908	FYAO	FYAO	FYAO	2441A
12909	FYAV	FYAV	FYAV	717A
12910	FYBC	FYBC	FYBC	242FA
12911	FYBD	XFYRD	FYRD	71FA
12912	FYBG	FYRG	FYRG	3E00
12913	FYBN	FYRN	FYRN	3DDA
12914	FYBN1	XFYRN	FYRN	7177
12914	FYBU	FYRU	FYRU	7177
12915	FYBO	FYRO	FYRO	24436
12916	FYBP	FYBP	FYBP	7216
12917	FYBN1	XFYRN	FYRN	7177
12917	FYBU	FYRU	FYRU	7177
12918	FYCD	FYCD	FYCD	
12919	FYCK	FYCK	FYCK	70C4
12920	FYCO	FYCO	FYCO	
12920	FYTO	FYTO	FYTO	71E7
12921	FYCR	XFYCB	FYCB	71B5
12922	FYDK	FYDK	FYDK	71C9
12923	FYDL	FYDL	FYDL	2436A
12924	FYE	FYE	FYE	2419D
12925	FYED	FYED	FYED	71E6
12926	FYEV	FYEV	FYEV	7218
12927	FYG	FYG	FYG	70B7
12928	FYGQ	FYGQ	FYGQ	71F5
12929	FYHJ	FYHJ	FYHJ	71A2
12930	FYHN	FYHN	FYHN	7095
12931	FYHR	FYHR	FYHR	3DDF
12932	FYHV	FQYHV	FQYHV	2766F
12933	FYIA	FYIA	FYIA	71BE
12934	FYIB	FYIB	FYIB	7134
12935	FYID	FYID	FYID	2426C
12936	FYJ	FYJ	FYJ	7093
12937	FYJR	FYCB	FYCB	
12938	FYK	FYK	FYK	7086
12939	FYL	XFYTJ	FYTJ	2423C
12940	FYMR	FQYMR	FQYMR	8A8A
12941	FYMR1	XFYMR	FYMR	24258
12942	FYNB	FYNB	FYNB	71A5
12943	FYOJ	FYOJ	FYOJ	7120
12944	FYOK	FYOK	FYOK	7132
12945	FYPN	FYPN	FYPN	
12946	FYPO	FYPO	FYPO	3DFE
12947	FYPP	FYPP	FYPP	7208
12948	FYPT	FYPT	FYPT	7210
12949	FYPU	FYPU	FYPU	
12950	FYR	FYR	FYR	70B6
12951	FYRB	FYRB	FYRB	7187
12952	FYRD	FYRD	FYRD	711E
12953	FYRN	XXFYR	FYRN	2423D
12954	FYRV	FYRV	FYRV	7219
12955	FYSG	FYSG	FYSG	24363
12956	FYSY	FYSY	FYSY	2426A
12957	FYT	FYT	FYT	241E5
12958	FYTA	FYTA	FYTA	242FE
12959	FYTC	XFYHC	FYHC	24484
12960	FYTG	FYTG	FYTG	71D1
12961	FYTI	FYTI	FYTI	3E0D
12962	FYTJ	FYTJ	FYTJ	24364
12963	FYCO	FYCO	FYCO	
12963	FYTO	FYTO	FYTO	71E7
12964	FYTP	FYTP	FYTP	71F1
12965	FYTR	FYTR	FYTR	7119
12966	FYUB	FYUB	FYUB	3DF0
12967	FYVI	FYVI	FYVI	70AB
12968	FYVO	FYVO	FYVO	70D7
12969	FYWD	FYWD	FYWD	71E3
12970	FYWF	FYWF	FYWF	71F7
12971	FYWG	FYWG	FYWG	24386
12972	FYX	FYX	FYX	3E04
12973	FYXC	FYHC	FYHC	
12974	FYY	FYY	FYY	709E
12975	FYYR	FYYB	FYYB	24466
12976	FYZK	XFYCK	FYCK	3DDC
12977	FZG	FCG	FCG	21507
12978	G	G	G	571F
12979	GA	GA	GA	2126D
12980	GAB	GAB	GAB	
12981	GABT	GABT	GABT	586D
12981	GWOT	GWOT	GWOT	
12982	GADI	GADI	GADI	57D8
12983	GAG	GAG	GAG	363F
12984	GAGI	GAGI	GAGI	5852
12985	GAH	GAH	GAH	58F0
12986	GAHU	GAHU	GAHU	5833
12987	GAIU	GAIU	GAIU	
12988	GAM	GAM	GAM	5766
12989	GAMG	GAMG	GAMG	21446
12990	GAMH	GAMH	GAMH	5834
12991	GAMI	GAMI	GAMI	58DC
12992	GAMJ	GAMJ	GAMJ	57BE
12993	GAMO	GAMO	GAMO	5824
12994	GAM1	XGAM	GAM	
12995	GAN	GAN	GAN	2135C
12996	GANA	GANA	GANA	58B9
12997	GANS	GANM	GANM	214F2
12998	GANX	GANX	GANX	58DB
12999	GAPH	GAPH	GAPH	57F8
13000	GAPP	GAPP	GAPP	5812
13001	GAPV	GAPV	GAPV	5828
13002	GASR	GASR	GASR	
13003	GASS	GASM	GASM	584C
13004	GATE	GATE	GATE	
13005	GAU	GAU	GAU	21315
13006	GAV	GAV	GAV	57A0
13007	GAVF	GAVF	GAVF	3677
13008	GAWE	GAWE	GAWE	5881
13009	GAWS	GAWS	GAWS	21466
13010	GAXL	GAXL	GAXL	214A7
13011	GAYF	GAYF	GAYF	21439
13012	GAYV	GAYV	GAYV	21512
13013	GB	GB	GB	5189
13014	GBAC	GBAC	GBAC	5853
13015	GBB	GBB	GBB	580B
13016	GBBAA	GBRXU	GBRXU	2A4DA
13017	GBBM	GBBM	GBBM	212A2
13018	GBBR	GBBR	GBBR	581D
13019	GBBT	GBBT	GBBT	21544
13020	GBCD	GBCD	GBCD	5814
13021	GBCD1	XGBCD	GBCD	21455
13022	GBCJ	GBCJ	GBCJ	
13023	GBCK	GBCK	GBCK	213EF
13024	GBCN	GBCN	GBCN	2136B
13025	GBCR	GBCR	GBCR	57DB
13026	GBCV	GBCV	GBCV	214EB
13027	GBD	GBD	GBD	57F0
13028	GBDI	GBDI	GBDI	57D2
13029	GBDI1	XGBDI	GBDI	57D3
13030	GBDOK	GDOK	GDOK	
13031	GBED	GBED	GBED	213EA
13032	GBFD	GBFD	GBFD	
13033	GBG	GBG	GBG	
13034	GBHB	GBHB	GBHB	21410
13035	GBHBS	GBHXU	GBHXU	
13036	GBHD	GBHD	GBHD	214A9
13037	GBHD1	XGBHD	GBHD	
13038	GBHF	GBHF	GBHF	
13039	GBHG	GBHG	GBHG	
13040	GBHN	GBHN	GBHN	5748
13040	GBHU	XGBHU	GBHU	
13041	GBHNE	GBHNE	GBHNE	89F3
13042	GBHN1	XGBHN	GBHN	58F3
13042	GBMN	GBMN	GBMN	
13043	GBHN2	XXGBH	GBHNE	4428
13044	GBHN3	XXXGB	GBHNE	3C7F
13045	GBHN4			23A8E
13046	GBHN5			
13047	GBHP	GBHP	GBHP	60AB
13048	GBHN	GBHN	GBHN	5748
13048	GBHU	XGBHU	GBHU	
13049	GBHU1	GBHU	GBHU	58F2
13050	GBJJ	GBJJ	GBJJ	581A
13051	GBJJ1	XGBJJ	GBJJ	21366
13052	GBKF	GBKF	GBKF	2144B
13053	GBL	GBTC	GBTC	58F6
13054	GBLHZ	GLHAF	GLHAF	2A1C4
13055	GBM	GBM	GBM	5765
13056	GBMC	GBMC	GBMC	57E7
13056	GBUC1	XGBUC	GBUC	
13057	GBMD	GBMD	GBMD	69D6
13058	GBMG	GBMG	GBMG	2693C
13059	GBMG1	XGBMG	GBMG	2135B
13060	GBMG2			21538
13061	GBMI	GBMI	GBMI	8827
13062	GBML	XGBMC	GBMC	58F8
13063	GBMM	GBMM	GBMM	58FC
13064	GBMM1	XGBMM	GBMM	21271
13065	GBMM2			
13066	GBMM3			2153E
13067	GBHN1	XGBHN	GBHN	58F3
13067	GBMN	GBMN	GBMN	
13068	GBMO	GBMO	GBMO	585A
13068	GBMO2	XXGBM	GBMO	585A
13069	GBMO1	XGBMO	GBMO	585C
13070	GBMO	GBMO	GBMO	585A
13070	GBMO2	XXGBM	GBMO	585A
13071	GBMR	GBMR	GBMR	578C
13072	GBMR1	XGBMR	GBMR	2154E
13073	GBMT	GBMT	GBMT	58F9
13074	GBMZ	GBMZ	GBMZ	2947A
13075	GBM1	XGBM	GBM	21249
13076	GBNC	GBNC	GBNC	
13077	GBND	GBND	GBND	57BA
13078	GBND1	XGBND	GBND	213BD
13079	GBNL	GBNL	GBNL	28697
13080	GBO	GBO	GBO	575D
13081	GBOD	GBOD	GBOD	23672
13082	GBOU	GBOU	GBOU	213DF
13083	GBP	GBP	GBP	58F1
13084	GBQ	GBQ	GBQ	212A4
13085	GBR	GBR	GBR	5770
13086	GBRD	GBRD	GBRD	
13087	GBRT	GBRT	GBRT	
13088	GBRV	GBRV	GBRV	2111C
13089	GBSD	GBSD	GBSD	57E9
13089	GNSD	XGNSD	GNSD	57E9
13090	GBSS	GBSMM	GBSMM	4383
13091	GBSU	GBSU	GBSU	212DE
13092	GBT	GBT	GBT	
13093	GBTHZ	GTHAF	GTHAF	9DE7
